mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,21st century classical,0.9793333333,0.1628833333,160297.6667,0.07131666667,0.60683367,0.3616,-31.51433333,0.04056666667,75.3365,0.1037833333,27.83333333,6
1,432hz,0.49478,0.2993333333,1048887.333,0.4506783333,0.4777616667,0.131,-16.854,0.07681666667,120.2856667,0.22175,52.5,5
1,8-bit,0.762,0.712,115177,0.818,0.876,0.126,-9.18,0.047,133.444,0.975,48,7
1,[],0.6514170196,0.5290925604,232880.8903,0.4191460727,0.2053091895,0.2186958542,-12.28896468,0.1078715587,112.8573524,0.5136042964,20.85988219,7
1,a cappella,0.676557305,0.5389612464,190628.5409,0.3164335702,0.00300344144,0.1722541371,-12.47938742,0.08285143981,112.110362,0.4482486546,45.82007123,7
1,abstract,0.45921,0.5161666667,343196.5,0.4424166667,0.8496666667,0.1180666667,-15.47208333,0.04651666667,127.88575,0.307325,43.5,1
1,abstract beats,0.3421466667,0.623,229936.2,0.5278,0.333602612,0.09965333333,-7.918,0.1163733333,112.4138,0.4935066667,58.93333333,10
1,abstract hip hop,0.2438540634,0.6945709366,231849.2342,0.6462346419,0.02423126292,0.1685429201,-7.349327824,0.2142576997,108.2449865,0.5713909091,39.79070248,2
0,accordeon,0.323,0.588,164000,0.392,0.441,0.0794,-14.899,0.0727,109.131,0.709,39,2
1,accordion,0.446125,0.6248125,167061.5625,0.3734375,0.1937383938,0.1603,-14.4870625,0.0785375,112.8724375,0.6586875,21.9375,2
0,acid house,0.06795053846,0.6774,297188.0538,0.7244030769,0.3858910308,0.2334884615,-9.3812,0.05585538462,126.4920923,0.5676769231,46.63846154,7
1,acid rock,0.256914508,0.4472389931,259203.9143,0.5806492948,0.1509256774,0.2304514628,-11.43307331,0.06759985278,125.6595223,0.5344474777,32.67595533,2
1,acid trance,0.00683,0.663,221160,0.925,0.703,0.185,-6.775,0.0449,132.687,0.843,62,9
1,acousmatic,0.9170191063,0.420458285,185040.2596,0.2385243418,0.6162484134,0.2610061824,-20.96456475,0.08061773913,104.0746327,0.3244473853,9.342524155,5
1,acoustic blues,0.7617235395,0.606914772,204321.2509,0.3606592946,0.09891813614,0.1830982136,-12.55490506,0.06881536423,113.2845212,0.6337857223,23.74606008,7
1,acoustic pop,0.490235026,0.5351083172,235379.7836,0.476439922,0.03333828011,0.1577504987,-9.297247893,0.04177066481,117.8874198,0.379415353,53.11550475,7
1,acoustic punk,0.404900022,0.5391115702,192332.1185,0.6158241506,0.0619399513,0.2094806244,-8.010774105,0.06357052342,122.3084885,0.7305188246,40.37649219,9
1,acoustic rock,0.6132007937,0.5243968254,195036,0.4160026455,0.3214749217,0.1405183862,-10.54062037,0.03468108466,122.6556627,0.3802986772,51.10978836,7
0,action rock,0.229,0.412,198400,0.938,0.000259,0.106,-0.253,0.182,97.489,0.32,47,4
1,adoracion,0.4328571429,0.5047142857,302906.0714,0.52075,0,0.3159857143,-8.010071429,0.03820357143,130.7106786,0.3115714286,46.39285714,9
1,adult standards,0.6556483763,0.4963276349,197331.5016,0.3820535821,0.1181935743,0.1967767437,-12.22177628,0.05315781804,113.3811766,0.4993761806,31.63490211,0
1,adventista,0.7841433333,0.5315,202876.65,0.3193833333,7.45E-06,0.14129,-9.338766667,0.02898666667,113.38845,0.5145166667,27.26666667,6
